,id,conversation_id,created_at,username,user_id,tweet
124,999002528640417792,998992505361252353,2018-05-22 19:02:18+00:00,zoelfick,86934018,"Penerus pekerjaan iblis ini bisa tampil di mana², bicara di mana², meski mereka tak membawa orang ke mana2, kecuali tetap di tempat."
123,999002531274543104,998992505361252353,2018-05-22 19:02:18+00:00,zoelfick,86934018,"Apakah dgn makin banyak mereka bicara akan bikin orang di sekitar mereka, yang menonton, sekaligus memuja mereka akan membaik? 

Tentu saja tidak. Sebab mereka hanya ingin terlihat di mana2, ada di mana2, dan tak punya beban mesti membawa orang yang mendengar mereka bisa ke mana."
122,999002533891747841,998992505361252353,2018-05-22 19:02:19+00:00,zoelfick,86934018,"Bukankah kebodohan itu adalah ketika seseorang merasa telah mengetahui segalanya, sementara sejatinya ia tidak tahu apa-apa?"
120,999002540841697280,998992505361252353,2018-05-22 19:02:20+00:00,zoelfick,86934018,"Berbeda jika iblis mengusik orang berilmu yang tertidur, maka ilmu orang itu hanya membuatnya terganggu. Pekerjaannya terganggu, dan misinya menipu manusia terancam gagal."
121,999002538165780481,998992505361252353,2018-05-22 19:02:20+00:00,zoelfick,86934018,"Nah, keberadaan orang spt ini di banyak tempat menjadi berita bagus bagi para iblis. Sebab dgn inilah ia punya wakil di mana2, dan kebodohan tetap bertahan di mana2."
119,999004951752802305,998992505361252353,2018-05-22 19:11:55+00:00,zoelfick,86934018,"Pekerjaan iblis tak banyak lagi, hanya perlu memastikan tetap menguasai pikiran orang-orang yang merasa dekat dengan Tuhan."
118,999004954143604736,998992505361252353,2018-05-22 19:11:56+00:00,zoelfick,86934018,"Iblis cukup ongkang kaki, dan para wakilnya akan menebar kehancuran di mana-mana, bahkan sambil membawa2 nama Tuhan."
117,999004956559486976,998992505361252353,2018-05-22 19:11:56+00:00,zoelfick,86934018,"Dengan segala kehancuran yang terjadi, para pengikut iblis tadi bahkan bisa sesumbar bahwa yang mereka kerjakan dilakukan atas nama Tuhan."
116,999004959092785152,998992505361252353,2018-05-22 19:11:57+00:00,zoelfick,86934018,"Setelah membawa kehancuran di satu tempat, mereka menebar kehancuran di tempat lain.

Berkat bantuan iblis, mereka tetap mendapatkan dukungan di mana2, krn pengikutnya bs meyakinkan lbh banyak orang bahwa yang terjadi semua atas nama Tuhan."
115,999004961626210304,998992505361252353,2018-05-22 19:11:58+00:00,zoelfick,86934018,"Bagaimana tidak, dari penampilan saja mereka sudah mampu menipu banyak orang. Ketika anak2 Adam sudah terbius penampilan, maka apa yang sebenarnya diusung mereka sama sekali tak digubris."
114,999004964012810240,998992505361252353,2018-05-22 19:11:58+00:00,zoelfick,86934018,"Iblis tahu, kebodohan itu juga membantu melahirkan kemalasan. Jadi, orang akan malas mencari tahu sesuatu di balik yang terlihat.

Maka itu, memastikan yang terlihat sudah sempurna, cukuplah baginya. Sebab dia yakin, pemalas yang bodoh tadi enggan melihat sesuatu di balik itu."
113,999011557836181504,998992505361252353,2018-05-22 19:38:10+00:00,zoelfick,86934018,"Sudah itu saja dulu. Terima kasih bagi yang sudah mau membuang waktu membaca ocehanku.

Jika bermanfaat sila retweet. Tidak bermanfaat, tinggal Anda tertawakan saja 😏"
